x,y
2.192458844657286591e+03,3.247843210615582393e+03
2.197407961688115847e+03,3.168657338122316560e+03
2.261746483088893910e+03,3.089471465629051181e+03
2.380525291828791978e+03,3.064725880474905807e+03
2.489405866507031988e+03,3.104318816721538496e+03
2.543846153846151992e+03,3.163708221091487758e+03
2.558693504938639308e+03,3.257741444677240452e+03
2.548795270876981249e+03,3.341876434201335087e+03
2.528998802753664677e+03,3.421062306694600466e+03
2.524049685722835875e+03,3.490349945126207786e+03
2.548795270876981249e+03,3.544790232465327790e+03
2.647777611493563199e+03,3.554688466526985849e+03
2.751709069140973952e+03,3.544790232465327790e+03
2.811098473510922759e+03,3.529942881372840475e+03
2.816047590541752015e+03,3.683365509328541975e+03
2.816047590541752015e+03,3.831839020253414674e+03
2.801200239449264700e+03,3.960516063054971255e+03
2.806149356480093957e+03,4.094142222887356638e+03
2.816047590541752015e+03,4.148582510226476188e+03
2.870487877880872020e+03,4.168378978349793215e+03
2.964521101466624714e+03,4.128786042103160071e+03
3.043706973959890092e+03,4.089193105856527382e+03
3.122892846453155471e+03,4.099091339918185440e+03
3.187231367853933989e+03,4.178277212411450819e+03
3.216926070038908165e+03,4.257463084904716197e+03
3.226824304100566678e+03,4.410885712860418607e+03
3.187231367853933989e+03,4.490071585353683986e+03
